Gene;Annotation
Pex19;Unique in old Hnf4a
Tle2;Unique in old Hnf4a
Nr0b2;Unique in old Hnf4a
Pgap1;Unique in old Hnf4a
Apobec3;Unique in old Hnf4a
Fads1;Unique in old Hnf4a
Hnf4a;Unique in old Hnf4a
Rdm1;Unique in old Hnf4a
Pms2;Unique in old Hnf4a
Abhd1;Unique in old Hnf4a
G0s2;Unique in old Hnf4a
Sufu;Unique in old Hnf4a
Chek2;Unique in old Hnf4a
Igflr1;Unique in old Hnf4a
Pfkl;Unique in old Hnf4a
Ces1e;Unique in old Hnf4a
Mettl27;Unique in old Hnf4a
Cyp51;Unique in old Hnf4a
Ldlr;Unique in old Hnf4a
Adprm;Unique in old Hnf4a
Gck;Unique in old Hnf4a
Map4k2;Unique in old Hnf4a
Tnip3;Unique in old Hnf4a
Hmgcr;Unique in old Hnf4a
Dnajb2;Unique in old Hnf4a
Fasn;Unique in old Hnf4a
Insig1;Unique in old Hnf4a
Pon1;Unique in old Hnf4a
Erlin1;Unique in old Hnf4a
Slc15a2;Unique in old Hnf4a
Phlda1;Unique in old Hnf4a
Dhcr7;Unique in old Hnf4a
Pex7;Unique in old Hnf4a
Haao;Unique in old Hnf4a
Enpp1;Unique in old Hnf4a
Dhrs7;Unique in old Hnf4a
Nr1d1;Unique in old Hnf4a
Nr1i3;Unique in old Hnf4a
Ldlrap1;Unique in old Hnf4a
Ak7;Unique in old Hnf4a
Fdft1;Unique in old Hnf4a
Creld1;Unique in old Hnf4a
Abat;Unique in old Hnf4a
Elovl2;Unique in old Hnf4a
Adh5;Unique in old Hnf4a
Stbd1;Unique in old Hnf4a
Galt;Unique in old Hnf4a
Ggta1;Unique in old Hnf4a
Cyp2c23;Unique in old Hnf4a
Apol9a;Unique in old Hnf4a
Apol9b;Unique in old Hnf4a
Akr1c12;Unique in old Hnf4a
Cyp46a1;Unique in old Hnf4a
Aldh4a1;Unique in old Hnf4a
Gstt1;Unique in old Hnf4a
Eno3;Unique in old Hnf4a
Ugdh;Unique in old Hnf4a
Nr4a1;Unique in old Hnf4a
Igf2r;Unique in old Hnf4a
Gnai2;Unique in old Hnf4a
Hamp2;Unique in old Hnf4a
Apol9b;Unique in old Hnf4a
Odc1;Unique in old Cebpa
Cpsf3;Unique in old Cebpa
Insig2;Unique in old Cebpa
Sorl1;Unique in old Cebpa
Parp6;Unique in old Cebpa
Sirt1;Unique in old Cebpa
Atp9a;Unique in old Cebpa
Atp12a;Unique in old Cebpa
Abcd2;Unique in old Cebpa
Xrcc3;Unique in old Cebpa
B4galnt1;Unique in old Cebpa
Pigx;Unique in old Cebpa
Foxa1;Unique in old Cebpa
Parp10;Unique in old Cebpa
Cox15;Unique in old Cebpa
Itih3;Unique in old Cebpa
Glb1l3;Unique in old Cebpa
Aldh1l2;Unique in old Cebpa
Ano10;Unique in old Cebpa
Glmp;Unique in old Cebpa
Galc;Unique in old Cebpa
Abcc1;Unique in old Cebpa
Plekhj1;Unique in old Cebpa
Cyp2c70;Unique in old Cebpa
Plscr2;Unique in old Cebpa
Arntl;Unique in old Cebpa
Gart;Unique in old Cebpa
Selenop;Unique in old Cebpa
Lmf1;Unique in old Cebpa
Hyal5;Unique in old Cebpa
Rint1;Unique in old Cebpa
Nicn1;Unique in old Ctcf
Pnpla3;Unique in old Ctcf
Gsta1;Unique in old Ctcf
Gstm1;Unique in old Ctcf
Sin3a;Unique in old Ctcf
Fermt1;Unique in old Ctcf
Ddx52;Unique in old Ctcf
Vps53;Unique in old Ctcf
Txndc5;Unique in old Ctcf
Ier2;Unique in old Ctcf
Sgk1;Unique in old Ctcf
Chchd3;Unique in old Ctcf
Tnpo1;Unique in old Ctcf
Sult1a1;Unique in old Ctcf
Slc35a2;Unique in old Ctcf
Tfcp2;Unique in old Ctcf
Glyr1;Unique in old Ctcf
Dopey2;Unique in old Ctcf
Sord;Unique in old Ctcf
Dab2;Unique in old Ctcf
Lmf2;Unique in old Ctcf
Fbp1;Unique in old Ctcf
Fnbp1;Unique in old Ctcf
Cd63;Unique in old Ctcf
Hipk3;Unique in old Ctcf
Upp2;Unique in old Ctcf
Timeless;Unique in old Ctcf
Taldo1;Unique in old Ctcf
Acot8;Unique in old Ctcf
Ces1d;Unique in old Ctcf
Gas2;Unique in old Ctcf
Gas2l3;Unique in old Ctcf
Cyp2c29;Unique in old Ctcf
Upt1a1;Unique in old Ctcf
Egfl7;Unique in old Ctcf
Mug1;Unique in old Ctcf
G6pc;Unique in old Ctcf
Hamp2;Unique in old Ctcf